mtknr;stg;pversion;pnr;pform;dtxt;psem
1000222;AB;192;1921010;KL;Klausur;20192
1000223;AB;192;1921010;KL;Klausur;20192
1000224;AB;192;1921010;KL;Klausur;20192
1000225;AB;192;1921010;KL;Klausur;20192
1000226;AB;192;1921010;KL;Klausur;20192
1000227;AB;192;1921010;KL;Klausur;20192
1000228;AB;192;1921010;KL;Klausur;20192
1000230;AB;192;1921010;KL;Klausur;20192
1000231;AB;192;1921010;KL;Klausur;20192
1000232;AB;192;1921010;KL;Klausur;20192
1000233;AB;192;1921010;KL;Klausur;20192
1000234;AB;192;1921010;KL;Klausur;20192
1000235;AB;192;1921010;KL;Klausur;20192
1000236;AB;192;1921010;KL;Klausur;20192
1000238;AB;192;1921010;KL;Klausur;20192
1000239;AB;192;1921010;KL;Klausur;20192
1000240;AB;192;1921010;KL;Klausur;20192
1000241;AB;192;1921010;KL;Klausur;20192
1000242;AB;192;1921010;KL;Klausur;20192
1000243;AB;192;1921010;KL;Klausur;20192
1000244;AB;192;1921010;KL;Klausur;20192
1000245;AB;192;1921010;KL;Klausur;20192
1000246;AB;192;1921010;KL;Klausur;20192
1000247;AB;192;1921010;KL;Klausur;20192
1000252;AB;192;1921010;KL;Klausur;20192
1000260;AB;192;1921010;KL;Klausur;20192
1000264;AB;192;1921010;KL;Klausur;20192
1000268;AB;192;1921010;KL;Klausur;20192
1000279;AB;192;1921010;KL;Klausur;20192
1000282;AB;192;1921010;KL;Klausur;20192
1000284;AB;192;1921010;KL;Klausur;20192
1000286;AB;192;1921010;KL;Klausur;20192
1000287;AB;192;1921010;KL;Klausur;20192
1000288;AB;192;1921010;KL;Klausur;20192
1000294;AB;192;1921010;KL;Klausur;20192
1000297;AB;192;1921010;KL;Klausur;20192
1000300;AB;192;1921010;KL;Klausur;20192
1000309;AB;192;1921010;KL;Klausur;20192
1000321;AB;192;1921010;KL;Klausur;20192
1000326;AB;192;1921010;KL;Klausur;20192
1000331;AB;192;1921010;KL;Klausur;20192
1000338;AB;192;1921010;KL;Klausur;20192
1000339;AB;192;1921010;KL;Klausur;20192
1000340;AB;192;1921010;KL;Klausur;20192
1000341;AB;192;1921010;KL;Klausur;20192
1000342;AB;192;1921010;KL;Klausur;20192
1000343;AB;192;1921010;KL;Klausur;20192
1000346;AB;192;1921010;KL;Klausur;20192
1000356;AB;192;1921010;KL;Klausur;20192
1000359;AB;192;1921010;KL;Klausur;20192
1000360;AB;192;1921010;KL;Klausur;20192
